date,year,quarter,month,month_name,day,day_of_week,day_of_week_num,is_weekend,year_month
2022-10-05,2022,Q4,10,October,5,Wednesday,3,0,2022-10
2022-10-06,2022,Q4,10,October,6,Thursday,4,0,2022-10
2022-10-07,2022,Q4,10,October,7,Friday,5,0,2022-10
2022-10-08,2022,Q4,10,October,8,Saturday,6,1,2022-10
2022-10-09,2022,Q4,10,October,9,Sunday,7,1,2022-10
2022-10-10,2022,Q4,10,October,10,Monday,1,0,2022-10
2022-10-11,2022,Q4,10,October,11,Tuesday,2,0,2022-10
2022-10-12,2022,Q4,10,October,12,Wednesday,3,0,2022-10
2022-10-13,2022,Q4,10,October,13,Thursday,4,0,2022-10
2022-10-14,2022,Q4,10,October,14,Friday,5,0,2022-10
2022-10-15,2022,Q4,10,October,15,Saturday,6,1,2022-10
2022-10-16,2022,Q4,10,October,16,Sunday,7,1,2022-10
2022-10-17,2022,Q4,10,October,17,Monday,1,0,2022-10
2022-10-18,2022,Q4,10,October,18,Tuesday,2,0,2022-10
2022-10-19,2022,Q4,10,October,19,Wednesday,3,0,2022-10
2022-10-20,2022,Q4,10,October,20,Thursday,4,0,2022-10
2022-10-21,2022,Q4,10,October,21,Friday,5,0,2022-10
2022-10-22,2022,Q4,10,October,22,Saturday,6,1,2022-10
2022-10-23,2022,Q4,10,October,23,Sunday,7,1,2022-10
2022-10-24,2022,Q4,10,October,24,Monday,1,0,2022-10
2022-10-25,2022,Q4,10,October,25,Tuesday,2,0,2022-10
2022-10-26,2022,Q4,10,October,26,Wednesday,3,0,2022-10
2022-10-27,2022,Q4,10,October,27,Thursday,4,0,2022-10
2022-10-28,2022,Q4,10,October,28,Friday,5,0,2022-10
2022-10-29,2022,Q4,10,October,29,Saturday,6,1,2022-10
2022-10-30,2022,Q4,10,October,30,Sunday,7,1,2022-10
2022-10-31,2022,Q4,10,October,31,Monday,1,0,2022-10
2022-11-01,2022,Q4,11,November,1,Tuesday,2,0,2022-11
2022-11-02,2022,Q4,11,November,2,Wednesday,3,0,2022-11
2022-11-03,2022,Q4,11,November,3,Thursday,4,0,2022-11
2022-11-04,2022,Q4,11,November,4,Friday,5,0,2022-11
2022-11-05,2022,Q4,11,November,5,Saturday,6,1,2022-11
2022-11-06,2022,Q4,11,November,6,Sunday,7,1,2022-11
2022-11-07,2022,Q4,11,November,7,Monday,1,0,2022-11
2022-11-08,2022,Q4,11,November,8,Tuesday,2,0,2022-11
2022-11-09,2022,Q4,11,November,9,Wednesday,3,0,2022-11
2022-11-10,2022,Q4,11,November,10,Thursday,4,0,2022-11
2022-11-11,2022,Q4,11,November,11,Friday,5,0,2022-11
2022-11-12,2022,Q4,11,November,12,Saturday,6,1,2022-11
2022-11-13,2022,Q4,11,November,13,Sunday,7,1,2022-11
2022-11-14,2022,Q4,11,November,14,Monday,1,0,2022-11
2022-11-15,2022,Q4,11,November,15,Tuesday,2,0,2022-11
2022-11-16,2022,Q4,11,November,16,Wednesday,3,0,2022-11
2022-11-17,2022,Q4,11,November,17,Thursday,4,0,2022-11
2022-11-18,2022,Q4,11,November,18,Friday,5,0,2022-11
2022-11-19,2022,Q4,11,November,19,Saturday,6,1,2022-11
2022-11-20,2022,Q4,11,November,20,Sunday,7,1,2022-11
2022-11-21,2022,Q4,11,November,21,Monday,1,0,2022-11
2022-11-22,2022,Q4,11,November,22,Tuesday,2,0,2022-11
2022-11-23,2022,Q4,11,November,23,Wednesday,3,0,2022-11
2022-11-24,2022,Q4,11,November,24,Thursday,4,0,2022-11
2022-11-25,2022,Q4,11,November,25,Friday,5,0,2022-11
2022-11-26,2022,Q4,11,November,26,Saturday,6,1,2022-11
2022-11-27,2022,Q4,11,November,27,Sunday,7,1,2022-11
2022-11-28,2022,Q4,11,November,28,Monday,1,0,2022-11
2022-11-29,2022,Q4,11,November,29,Tuesday,2,0,2022-11
2022-11-30,2022,Q4,11,November,30,Wednesday,3,0,2022-11
2022-12-01,2022,Q4,12,December,1,Thursday,4,0,2022-12
2022-12-02,2022,Q4,12,December,2,Friday,5,0,2022-12
2022-12-03,2022,Q4,12,December,3,Saturday,6,1,2022-12
2022-12-04,2022,Q4,12,December,4,Sunday,7,1,2022-12
2022-12-05,2022,Q4,12,December,5,Monday,1,0,2022-12
2022-12-06,2022,Q4,12,December,6,Tuesday,2,0,2022-12
2022-12-07,2022,Q4,12,December,7,Wednesday,3,0,2022-12
2022-12-08,2022,Q4,12,December,8,Thursday,4,0,2022-12
2022-12-09,2022,Q4,12,December,9,Friday,5,0,2022-12
2022-12-10,2022,Q4,12,December,10,Saturday,6,1,2022-12
2022-12-11,2022,Q4,12,December,11,Sunday,7,1,2022-12
2022-12-12,2022,Q4,12,December,12,Monday,1,0,2022-12
2022-12-13,2022,Q4,12,December,13,Tuesday,2,0,2022-12
2022-12-14,2022,Q4,12,December,14,Wednesday,3,0,2022-12
2022-12-15,2022,Q4,12,December,15,Thursday,4,0,2022-12
2022-12-16,2022,Q4,12,December,16,Friday,5,0,2022-12
2022-12-17,2022,Q4,12,December,17,Saturday,6,1,2022-12
2022-12-18,2022,Q4,12,December,18,Sunday,7,1,2022-12
2022-12-19,2022,Q4,12,December,19,Monday,1,0,2022-12
2022-12-20,2022,Q4,12,December,20,Tuesday,2,0,2022-12
2022-12-21,2022,Q4,12,December,21,Wednesday,3,0,2022-12
2022-12-22,2022,Q4,12,December,22,Thursday,4,0,2022-12
2022-12-23,2022,Q4,12,December,23,Friday,5,0,2022-12
2022-12-24,2022,Q4,12,December,24,Saturday,6,1,2022-12
2022-12-25,2022,Q4,12,December,25,Sunday,7,1,2022-12
2022-12-26,2022,Q4,12,December,26,Monday,1,0,2022-12
2022-12-27,2022,Q4,12,December,27,Tuesday,2,0,2022-12
2022-12-28,2022,Q4,12,December,28,Wednesday,3,0,2022-12
2022-12-29,2022,Q4,12,December,29,Thursday,4,0,2022-12
2022-12-30,2022,Q4,12,December,30,Friday,5,0,2022-12
2022-12-31,2022,Q4,12,December,31,Saturday,6,1,2022-12
2023-01-01,2023,Q1,1,January,1,Sunday,7,1,2023-01
2023-01-02,2023,Q1,1,January,2,Monday,1,0,2023-01
2023-01-03,2023,Q1,1,January,3,Tuesday,2,0,2023-01
2023-01-04,2023,Q1,1,January,4,Wednesday,3,0,2023-01
2023-01-05,2023,Q1,1,January,5,Thursday,4,0,2023-01
2023-01-06,2023,Q1,1,January,6,Friday,5,0,2023-01
2023-01-07,2023,Q1,1,January,7,Saturday,6,1,2023-01
2023-01-08,2023,Q1,1,January,8,Sunday,7,1,2023-01
2023-01-09,2023,Q1,1,January,9,Monday,1,0,2023-01
2023-01-10,2023,Q1,1,January,10,Tuesday,2,0,2023-01
2023-01-11,2023,Q1,1,January,11,Wednesday,3,0,2023-01
2023-01-12,2023,Q1,1,January,12,Thursday,4,0,2023-01
2023-01-13,2023,Q1,1,January,13,Friday,5,0,2023-01
2023-01-14,2023,Q1,1,January,14,Saturday,6,1,2023-01
2023-01-15,2023,Q1,1,January,15,Sunday,7,1,2023-01
2023-01-16,2023,Q1,1,January,16,Monday,1,0,2023-01
2023-01-17,2023,Q1,1,January,17,Tuesday,2,0,2023-01
2023-01-18,2023,Q1,1,January,18,Wednesday,3,0,2023-01
2023-01-19,2023,Q1,1,January,19,Thursday,4,0,2023-01
2023-01-20,2023,Q1,1,January,20,Friday,5,0,2023-01
2023-01-21,2023,Q1,1,January,21,Saturday,6,1,2023-01
2023-01-22,2023,Q1,1,January,22,Sunday,7,1,2023-01
